計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他,,,
2013/12/01,01,69,66,,,,,,,,,
2013/12/01,02,63,58,,,,,,,,,
2013/12/01,03,66,57,,,,,,,,,
2013/12/01,04,87,61,,,,,,,,,
2013/12/01,05,95,61,,,,,,,,,
2013/12/01,06,78,43,,,,,,,,,
2013/12/01,07,108,78,,,,,,,,,
2013/12/01,08,261,210,,,,,,,,,
2013/12/01,09,283,218,,,,,,,,,
2013/12/01,10,265,195,,,,,,,,,
2013/12/01,11,246,176,,,,,,,,,
2013/12/01,12,245,158,,,,,,,,,
2013/12/01,13,253,170,,,,,,,,,
2013/12/01,14,271,177,,,,,,,,,
2013/12/01,15,271,204,,,,,,,,,
2013/12/01,16,277,213,,,,,,,,,
2013/12/01,17,295,216,,,,,,,,,
2013/12/01,18,294,214,,,,,,,,,
2013/12/01,19,271,213,,,,,,,,,
2013/12/01,20,273,214,,,,,,,,,
2013/12/01,21,254,203,,,,,,,,,
2013/12/01,22,167,116,,,,,,,,,
2013/12/01,23,76,72,,,,,,,,,
2013/12/01,24,74,61,,,,,,,,,
2013/12/02,01,65,57,,,,,,,,,
2013/12/02,02,66,56,,,,,,,,,
2013/12/02,03,65,50,,,,,,,,,
2013/12/02,04,75,55,,,,,,,,,
2013/12/02,05,62,52,,,,,,,,,
2013/12/02,06,76,38,,,,,,,,,
2013/12/02,07,89,70,,,,,,,,,
2013/12/02,08,205,168,,,,,,,,,
2013/12/02,09,273,201,,,,,,,,,
2013/12/02,10,259,193,,,,,,,,,
2013/12/02,11,234,165,,,,,,,,,
2013/12/02,12,229,152,,,,,,,,,
2013/12/02,13,225,157,,,,,,,,,
2013/12/02,14,227,147,,,,,,,,,
2013/12/02,15,236,173,,,,,,,,,
2013/12/02,16,255,190,,,,,,,,,
2013/12/02,17,265,202,,,,,,,,,
2013/12/02,18,265,200,,,,,,,,,
2013/12/02,19,267,206,,,,,,,,,
2013/12/02,20,272,210,,,,,,,,,
2013/12/02,21,256,201,,,,,,,,,
2013/12/02,22,134,79,,,,,,,,,
2013/12/02,23,79,78,,,,,,,,,
2013/12/02,24,75,65,,,,,,,,,
2013/12/03,01,69,66,,,,,,,,,
2013/12/03,02,63,56,,,,,,,,,
2013/12/03,03,66,52,,,,,,,,,
2013/12/03,04,82,62,,,,,,,,,
2013/12/03,05,71,60,,,,,,,,,
2013/12/03,06,81,45,,,,,,,,,
2013/12/03,07,106,74,,,,,,,,,
2013/12/03,08,232,180,,,,,,,,,
2013/12/03,09,264,194,,,,,,,,,
2013/12/03,10,247,178,,,,,,,,,
2013/12/03,11,241,164,,,,,,,,,
2013/12/03,12,240,156,,,,,,,,,
2013/12/03,13,243,174,,,,,,,,,
2013/12/03,14,232,148,,,,,,,,,
2013/12/03,15,229,166,,,,,,,,,
2013/12/03,16,259,195,,,,,,,,,
2013/12/03,17,279,206,,,,,,,,,
2013/12/03,18,276,197,,,,,,,,,
2013/12/03,19,264,204,,,,,,,,,
2013/12/03,20,272,208,,,,,,,,,
2013/12/03,21,251,199,,,,,,,,,
2013/12/03,22,135,86,,,,,,,,,
2013/12/03,23,85,88,,,,,,,,,
2013/12/03,24,78,70,,,,,,,,,
2013/12/04,01,69,65,,,,,,,,,
2013/12/04,02,67,62,,,,,,,,,
2013/12/04,03,67,57,,,,,,,,,
2013/12/04,04,79,65,,,,,,,,,
2013/12/04,05,65,59,,,,,,,,,
2013/12/04,06,74,41,,,,,,,,,
2013/12/04,07,96,83,,,,,,,,,
2013/12/04,08,242,205,,,,,,,,,
2013/12/04,09,271,204,,,,,,,,,
2013/12/04,10,256,189,,,,,,,,,
2013/12/04,11,257,190,,,,,,,,,
2013/12/04,12,249,168,,,,,,,,,
2013/12/04,13,247,179,,,,,,,,,
2013/12/04,14,250,162,,,,,,,,,
2013/12/04,15,249,181,,,,,,,,,
2013/12/04,16,268,205,,,,,,,,,
2013/12/04,17,275,205,,,,,,,,,
2013/12/04,18,275,208,,,,,,,,,
2013/12/04,19,265,211,,,,,,,,,
2013/12/04,20,271,215,,,,,,,,,
2013/12/04,21,254,206,,,,,,,,,
2013/12/04,22,138,77,,,,,,,,,
2013/12/04,23,83,75,,,,,,,,,
2013/12/04,24,77,72,,,,,,,,,
2013/12/05,01,69,66,,,,,,,,,
2013/12/05,02,65,59,,,,,,,,,
2013/12/05,03,65,56,,,,,,,,,
2013/12/05,04,80,61,,,,,,,,,
2013/12/05,05,67,55,,,,,,,,,
2013/12/05,06,73,40,,,,,,,,,
2013/12/05,07,93,75,,,,,,,,,
2013/12/05,08,220,155,,,,,,,,,
2013/12/05,09,265,206,,,,,,,,,
2013/12/05,10,250,181,,,,,,,,,
2013/12/05,11,238,168,,,,,,,,,
2013/12/05,12,230,153,,,,,,,,,
2013/12/05,13,242,179,,,,,,,,,
2013/12/05,14,244,163,,,,,,,,,
2013/12/05,15,235,175,,,,,,,,,
2013/12/05,16,257,199,,,,,,,,,
2013/12/05,17,270,202,,,,,,,,,
2013/12/05,18,267,194,,,,,,,,,
2013/12/05,19,267,201,,,,,,,,,
2013/12/05,20,261,195,,,,,,,,,
2013/12/05,21,249,192,,,,,,,,,
2013/12/05,22,132,81,,,,,,,,,
2013/12/05,23,81,74,,,,,,,,,
2013/12/05,24,79,72,,,,,,,,,
2013/12/06,01,73,69,,,,,,,,,
2013/12/06,02,75,65,,,,,,,,,
2013/12/06,03,72,65,,,,,,,,,
2013/12/06,04,84,72,,,,,,,,,
2013/12/06,05,69,66,,,,,,,,,
2013/12/06,06,78,46,,,,,,,,,
2013/12/06,07,97,82,,,,,,,,,
2013/12/06,08,245,209,,,,,,,,,
2013/12/06,09,259,194,,,,,,,,,
2013/12/06,10,252,191,,,,,,,,,
2013/12/06,11,241,170,,,,,,,,,
2013/12/06,12,245,171,,,,,,,,,
2013/12/06,13,266,201,,,,,,,,,
2013/12/06,14,247,172,,,,,,,,,
2013/12/06,15,260,201,,,,,,,,,
2013/12/06,16,268,213,,,,,,,,,
2013/12/06,17,268,215,,,,,,,,,
2013/12/06,18,275,205,,,,,,,,,
2013/12/06,19,276,216,,,,,,,,,
2013/12/06,20,278,223,,,,,,,,,
2013/12/06,21,261,213,,,,,,,,,
2013/12/06,22,207,166,,,,,,,,,
2013/12/06,23,88,85,,,,,,,,,
2013/12/06,24,77,72,,,,,,,,,
2013/12/07,01,70,66,,,,,,,,,
2013/12/07,02,66,59,,,,,,,,,
2013/12/07,03,65,53,,,,,,,,,
2013/12/07,04,80,61,,,,,,,,,
2013/12/07,05,62,57,,,,,,,,,
2013/12/07,06,75,37,,,,,,,,,
2013/12/07,07,103,75,,,,,,,,,
2013/12/07,08,237,197,,,,,,,,,
2013/12/07,09,275,207,,,,,,,,,
2013/12/07,10,262,201,,,,,,,,,
2013/12/07,11,255,189,,,,,,,,,
2013/12/07,12,271,193,,,,,,,,,
2013/12/07,13,269,208,,,,,,,,,
2013/12/07,14,270,196,,,,,,,,,
2013/12/07,15,265,212,,,,,,,,,
2013/12/07,16,266,210,,,,,,,,,
2013/12/07,17,273,208,,,,,,,,,
2013/12/07,18,271,204,,,,,,,,,
2013/12/07,19,268,207,,,,,,,,,
2013/12/07,20,269,207,,,,,,,,,
2013/12/07,21,245,190,,,,,,,,,
2013/12/07,22,163,106,,,,,,,,,
2013/12/07,23,82,70,,,,,,,,,
2013/12/07,24,71,61,,,,,,,,,
2013/12/08,01,67,61,,,,,,,,,
2013/12/08,02,64,55,,,,,,,,,
2013/12/08,03,62,50,,,,,,,,,
2013/12/08,04,86,58,,,,,,,,,
2013/12/08,05,75,55,,,,,,,,,
2013/12/08,06,76,39,,,,,,,,,
2013/12/08,07,98,70,,,,,,,,,
2013/12/08,08,246,181,,,,,,,,,
2013/12/08,09,265,188,,,,,,,,,
2013/12/08,10,265,203,,,,,,,,,
2013/12/08,11,271,202,,,,,,,,,
2013/12/08,12,272,193,,,,,,,,,
2013/12/08,13,276,205,,,,,,,,,
2013/12/08,14,283,189,,,,,,,,,
2013/12/08,15,274,210,,,,,,,,,
2013/12/08,16,282,216,,,,,,,,,
2013/12/08,17,287,204,,,,,,,,,
2013/12/08,18,276,199,,,,,,,,,
2013/12/08,19,284,217,,,,,,,,,
2013/12/08,20,272,209,,,,,,,,,
2013/12/08,21,245,184,,,,,,,,,
2013/12/08,22,127,66,,,,,,,,,
2013/12/08,23,76,70,,,,,,,,,
2013/12/08,24,74,61,,,,,,,,,
2013/12/09,01,69,63,,,,,,,,,
2013/12/09,02,67,57,,,,,,,,,
2013/12/09,03,70,53,,,,,,,,,
2013/12/09,04,77,59,,,,,,,,,
2013/12/09,05,65,55,,,,,,,,,
2013/12/09,06,76,38,,,,,,,,,
2013/12/09,07,97,73,,,,,,,,,
2013/12/09,08,230,193,,,,,,,,,
2013/12/09,09,265,197,,,,,,,,,
2013/12/09,10,259,199,,,,,,,,,
2013/12/09,11,245,181,,,,,,,,,
2013/12/09,12,239,166,,,,,,,,,
2013/12/09,13,242,178,,,,,,,,,
2013/12/09,14,242,159,,,,,,,,,
2013/12/09,15,238,176,,,,,,,,,
2013/12/09,16,256,193,,,,,,,,,
2013/12/09,17,262,199,,,,,,,,,
2013/12/09,18,263,191,,,,,,,,,
2013/12/09,19,261,199,,,,,,,,,
2013/12/09,20,265,208,,,,,,,,,
2013/12/09,21,252,195,,,,,,,,,
2013/12/09,22,188,139,,,,,,,,,
2013/12/09,23,80,79,,,,,,,,,
2013/12/09,24,78,70,,,,,,,,,
2013/12/10,01,71,67,,,,,,,,,
2013/12/10,02,70,63,,,,,,,,,
2013/12/10,03,71,57,,,,,,,,,
2013/12/10,04,81,63,,,,,,,,,
2013/12/10,05,72,58,,,,,,,,,
2013/12/10,06,77,42,,,,,,,,,
2013/12/10,07,95,72,,,,,,,,,
2013/12/10,08,239,191,,,,,,,,,
2013/12/10,09,268,187,,,,,,,,,
2013/12/10,10,264,195,,,,,,,,,
2013/12/10,11,258,188,,,,,,,,,
2013/12/10,12,261,186,,,,,,,,,
2013/12/10,13,261,196,,,,,,,,,
2013/12/10,14,254,175,,,,,,,,,
2013/12/10,15,246,184,,,,,,,,,
2013/12/10,16,260,198,,,,,,,,,
2013/12/10,17,280,197,,,,,,,,,
2013/12/10,18,262,187,,,,,,,,,
2013/12/10,19,268,204,,,,,,,,,
2013/12/10,20,264,197,,,,,,,,,
2013/12/10,21,252,188,,,,,,,,,
2013/12/10,22,127,73,,,,,,,,,
2013/12/10,23,76,76,,,,,,,,,
2013/12/10,24,71,61,,,,,,,,,
2013/12/11,01,63,57,,,,,,,,,
2013/12/11,02,62,55,,,,,,,,,
2013/12/11,03,63,48,,,,,,,,,
2013/12/11,04,72,57,,,,,,,,,
2013/12/11,05,60,53,,,,,,,,,
2013/12/11,06,77,41,,,,,,,,,
2013/12/11,07,94,78,,,,,,,,,
2013/12/11,08,247,206,,,,,,,,,
2013/12/11,09,277,197,,,,,,,,,
2013/12/11,10,256,193,,,,,,,,,
2013/12/11,11,248,181,,,,,,,,,
2013/12/11,12,252,173,,,,,,,,,
2013/12/11,13,251,181,,,,,,,,,
2013/12/11,14,248,166,,,,,,,,,
2013/12/11,15,259,192,,,,,,,,,
2013/12/11,16,266,205,,,,,,,,,
2013/12/11,17,271,204,,,,,,,,,
2013/12/11,18,270,201,,,,,,,,,
2013/12/11,19,270,211,,,,,,,,,
2013/12/11,20,264,204,,,,,,,,,
2013/12/11,21,240,184,,,,,,,,,
2013/12/11,22,131,66,,,,,,,,,
2013/12/11,23,126,80,,,,,,,,,
2013/12/11,24,107,68,,,,,,,,,
2013/12/12,01,66,63,,,,,,,,,
2013/12/12,02,63,56,,,,,,,,,
2013/12/12,03,70,52,,,,,,,,,
2013/12/12,04,74,58,,,,,,,,,
2013/12/12,05,58,48,,,,,,,,,
2013/12/12,06,73,39,,,,,,,,,
2013/12/12,07,91,75,,,,,,,,,
2013/12/12,08,227,193,,,,,,,,,
2013/12/12,09,260,195,,,,,,,,,
2013/12/12,10,264,199,,,,,,,,,
2013/12/12,11,255,195,,,,,,,,,
2013/12/12,12,255,184,,,,,,,,,
2013/12/12,13,251,196,,,,,,,,,
2013/12/12,14,261,181,,,,,,,,,
2013/12/12,15,264,205,,,,,,,,,
2013/12/12,16,267,210,,,,,,,,,
2013/12/12,17,268,204,,,,,,,,,
2013/12/12,18,268,199,,,,,,,,,
2013/12/12,19,263,208,,,,,,,,,
2013/12/12,20,262,204,,,,,,,,,
2013/12/12,21,241,188,,,,,,,,,
2013/12/12,22,125,62,,,,,,,,,
2013/12/12,23,76,66,,,,,,,,,
2013/12/12,24,68,55,,,,,,,,,
2013/12/13,01,63,52,,,,,,,,,
2013/12/13,02,61,48,,,,,,,,,
2013/12/13,03,63,46,,,,,,,,,
2013/12/13,04,70,50,,,,,,,,,
2013/12/13,05,56,44,,,,,,,,,
2013/12/13,06,68,30,,,,,,,,,
2013/12/13,07,86,67,,,,,,,,,
2013/12/13,08,180,97,,,,,,,,,
2013/12/13,09,271,196,,,,,,,,,
2013/12/13,10,271,200,,,,,,,,,
2013/12/13,11,259,185,,,,,,,,,
2013/12/13,12,257,175,,,,,,,,,
2013/12/13,13,255,189,,,,,,,,,
2013/12/13,14,260,170,,,,,,,,,
2013/12/13,15,263,197,,,,,,,,,
2013/12/13,16,276,208,,,,,,,,,
2013/12/13,17,276,206,,,,,,,,,
2013/12/13,18,272,199,,,,,,,,,
2013/12/13,19,267,206,,,,,,,,,
2013/12/13,20,261,198,,,,,,,,,
2013/12/13,21,246,191,,,,,,,,,
2013/12/13,22,119,60,,,,,,,,,
2013/12/13,23,75,70,,,,,,,,,
2013/12/13,24,69,55,,,,,,,,,
2013/12/14,01,61,52,,,,,,,,,
2013/12/14,02,62,51,,,,,,,,,
2013/12/14,03,64,46,,,,,,,,,
2013/12/14,04,74,52,,,,,,,,,
2013/12/14,05,64,46,,,,,,,,,
2013/12/14,06,71,32,,,,,,,,,
2013/12/14,07,101,70,,,,,,,,,
2013/12/14,08,232,175,,,,,,,,,
2013/12/14,09,263,188,,,,,,,,,
2013/12/14,10,261,200,,,,,,,,,
2013/12/14,11,263,190,,,,,,,,,
2013/12/14,12,266,192,,,,,,,,,
2013/12/14,13,266,210,,,,,,,,,
2013/12/14,14,268,189,,,,,,,,,
2013/12/14,15,269,208,,,,,,,,,
2013/12/14,16,267,208,,,,,,,,,
2013/12/14,17,273,204,,,,,,,,,
2013/12/14,18,266,197,,,,,,,,,
2013/12/14,19,255,197,,,,,,,,,
2013/12/14,20,254,191,,,,,,,,,
2013/12/14,21,235,181,,,,,,,,,
2013/12/14,22,179,139,,,,,,,,,
2013/12/14,23,76,76,,,,,,,,,
2013/12/14,24,73,62,,,,,,,,,
2013/12/15,01,66,60,,,,,,,,,
2013/12/15,02,64,56,,,,,,,,,
2013/12/15,03,84,52,,,,,,,,,
2013/12/15,04,86,61,,,,,,,,,
2013/12/15,05,61,52,,,,,,,,,
2013/12/15,06,81,39,,,,,,,,,
2013/12/15,07,126,72,,,,,,,,,
2013/12/15,08,217,163,,,,,,,,,
2013/12/15,09,255,171,,,,,,,,,
2013/12/15,10,256,182,,,,,,,,,
2013/12/15,11,261,184,,,,,,,,,
2013/12/15,12,270,181,,,,,,,,,
2013/12/15,13,266,193,,,,,,,,,
2013/12/15,14,277,180,,,,,,,,,
2013/12/15,15,281,203,,,,,,,,,
2013/12/15,16,271,197,,,,,,,,,
2013/12/15,17,279,198,,,,,,,,,
2013/12/15,18,279,192,,,,,,,,,
2013/12/15,19,260,193,,,,,,,,,
2013/12/15,20,257,188,,,,,,,,,
2013/12/15,21,230,168,,,,,,,,,
2013/12/15,22,102,49,,,,,,,,,
2013/12/15,23,70,67,,,,,,,,,
2013/12/15,24,68,57,,,,,,,,,
2013/12/16,01,60,52,,,,,,,,,
2013/12/16,02,60,50,,,,,,,,,
2013/12/16,03,63,49,,,,,,,,,
2013/12/16,04,72,57,,,,,,,,,
2013/12/16,05,59,50,,,,,,,,,
2013/12/16,06,78,38,,,,,,,,,
2013/12/16,07,88,66,,,,,,,,,
2013/12/16,08,222,162,,,,,,,,,
2013/12/16,09,273,193,,,,,,,,,
2013/12/16,10,272,205,,,,,,,,,
2013/12/16,11,261,192,,,,,,,,,
2013/12/16,12,264,188,,,,,,,,,
2013/12/16,13,256,193,,,,,,,,,
2013/12/16,14,261,180,,,,,,,,,
2013/12/16,15,261,201,,,,,,,,,
2013/12/16,16,270,202,,,,,,,,,
2013/12/16,17,279,212,,,,,,,,,
2013/12/16,18,279,212,,,,,,,,,
2013/12/16,19,273,208,,,,,,,,,
2013/12/16,20,268,204,,,,,,,,,
2013/12/16,21,242,173,,,,,,,,,
2013/12/16,22,108,49,,,,,,,,,
2013/12/16,23,88,56,,,,,,,,,
2013/12/16,24,92,64,,,,,,,,,
2013/12/17,01,94,72,,,,,,,,,
2013/12/17,02,100,52,,,,,,,,,
2013/12/17,03,96,34,,,,,,,,,
2013/12/17,04,98,39,,,,,,,,,
2013/12/17,05,94,41,,,,,,,,,
2013/12/17,06,166,109,,,,,,,,,
2013/12/17,07,206,165,,,,,,,,,
2013/12/17,08,259,196,,,,,,,,,
2013/12/17,09,263,193,,,,,,,,,
2013/12/17,10,264,203,,,,,,,,,
2013/12/17,11,257,186,,,,,,,,,
2013/12/17,12,252,164,,,,,,,,,
2013/12/17,13,253,176,,,,,,,,,
2013/12/17,14,345,224,,,,,,,,,
2013/12/17,15,267,166,,,,,,,,,
2013/12/17,16,269,171,,,,,,,,,
2013/12/17,17,285,175,,,,,,,,,
2013/12/17,18,272,168,,,,,,,,,
2013/12/17,19,265,173,,,,,,,,,
2013/12/17,20,264,170,,,,,,,,,
2013/12/17,21,238,150,,,,,,,,,
2013/12/17,22,120,49,,,,,,,,,
2013/12/17,23,71,55,,,,,,,,,
2013/12/17,24,67,40,,,,,,,,,
2013/12/18,01,60,43,,,,,,,,,
2013/12/18,02,59,42,,,,,,,,,
2013/12/18,03,61,38,,,,,,,,,
2013/12/18,04,67,40,,,,,,,,,
2013/12/18,05,54,31,,,,,,,,,
2013/12/18,06,72,23,,,,,,,,,
2013/12/18,07,89,50,,,,,,,,,
2013/12/18,08,205,135,,,,,,,,,
2013/12/18,09,259,152,,,,,,,,,
2013/12/18,10,258,164,,,,,,,,,
2013/12/18,11,258,161,,,,,,,,,
2013/12/18,12,263,159,,,,,,,,,
2013/12/18,13,259,167,,,,,,,,,
2013/12/18,14,264,155,,,,,,,,,
2013/12/18,15,263,173,,,,,,,,,
2013/12/18,16,266,173,,,,,,,,,
2013/12/18,17,277,170,,,,,,,,,
2013/12/18,18,267,164,,,,,,,,,
2013/12/18,19,254,160,,,,,,,,,
2013/12/18,20,259,166,,,,,,,,,
2013/12/18,21,238,151,,,,,,,,,
2013/12/18,22,108,50,,,,,,,,,
2013/12/18,23,73,61,,,,,,,,,
2013/12/18,24,70,51,,,,,,,,,
2013/12/19,01,62,43,,,,,,,,,
2013/12/19,02,62,41,,,,,,,,,
2013/12/19,03,63,39,,,,,,,,,
2013/12/19,04,72,42,,,,,,,,,
2013/12/19,05,58,37,,,,,,,,,
2013/12/19,06,77,29,,,,,,,,,
2013/12/19,07,85,55,,,,,,,,,
2013/12/19,08,180,79,,,,,,,,,
2013/12/19,09,258,158,,,,,,,,,
2013/12/19,10,258,163,,,,,,,,,
2013/12/19,11,257,163,,,,,,,,,
2013/12/19,12,266,160,,,,,,,,,
2013/12/19,13,262,170,,,,,,,,,
2013/12/19,14,266,164,,,,,,,,,
2013/12/19,15,266,175,,,,,,,,,
2013/12/19,16,273,178,,,,,,,,,
2013/12/19,17,275,175,,,,,,,,,
2013/12/19,18,267,169,,,,,,,,,
2013/12/19,19,271,172,,,,,,,,,
2013/12/19,20,264,168,,,,,,,,,
2013/12/19,21,242,155,,,,,,,,,
2013/12/19,22,114,48,,,,,,,,,
2013/12/19,23,71,55,,,,,,,,,
2013/12/19,24,68,44,,,,,,,,,
2013/12/20,01,63,45,,,,,,,,,
2013/12/20,02,61,40,,,,,,,,,
2013/12/20,03,59,35,,,,,,,,,
2013/12/20,04,70,38,,,,,,,,,
2013/12/20,05,57,37,,,,,,,,,
2013/12/20,06,69,23,,,,,,,,,
2013/12/20,07,97,61,,,,,,,,,
2013/12/20,08,214,148,,,,,,,,,
2013/12/20,09,239,146,,,,,,,,,
2013/12/20,10,246,150,,,,,,,,,
2013/12/20,11,241,148,,,,,,,,,
2013/12/20,12,248,147,,,,,,,,,
2013/12/20,13,245,153,,,,,,,,,
2013/12/20,14,245,143,,,,,,,,,
2013/12/20,15,243,157,,,,,,,,,
2013/12/20,16,254,159,,,,,,,,,
2013/12/20,17,260,161,,,,,,,,,
2013/12/20,18,267,157,,,,,,,,,
2013/12/20,19,253,162,,,,,,,,,
2013/12/20,20,255,159,,,,,,,,,
2013/12/20,21,238,152,,,,,,,,,
2013/12/20,22,129,55,,,,,,,,,
2013/12/20,23,74,54,,,,,,,,,
2013/12/20,24,71,43,,,,,,,,,
2013/12/21,01,66,44,,,,,,,,,
2013/12/21,02,66,39,,,,,,,,,
2013/12/21,03,62,35,,,,,,,,,
2013/12/21,04,73,39,,,,,,,,,
2013/12/21,05,61,34,,,,,,,,,
2013/12/21,06,85,30,,,,,,,,,
2013/12/21,07,127,59,,,,,,,,,
2013/12/21,08,185,72,,,,,,,,,
2013/12/21,09,254,154,,,,,,,,,
2013/12/21,10,257,153,,,,,,,,,
2013/12/21,11,263,141,,,,,,,,,
2013/12/21,12,275,141,,,,,,,,,
2013/12/21,13,270,162,,,,,,,,,
2013/12/21,14,269,164,,,,,,,,,
2013/12/21,15,274,179,,,,,,,,,
2013/12/21,16,283,183,,,,,,,,,
2013/12/21,17,277,174,,,,,,,,,
2013/12/21,18,264,165,,,,,,,,,
2013/12/21,19,261,169,,,,,,,,,
2013/12/21,20,258,160,,,,,,,,,
2013/12/21,21,246,157,,,,,,,,,
2013/12/21,22,192,108,,,,,,,,,
2013/12/21,23,94,57,,,,,,,,,
2013/12/21,24,71,43,,,,,,,,,
2013/12/22,01,66,45,,,,,,,,,
2013/12/22,02,66,43,,,,,,,,,
2013/12/22,03,65,38,,,,,,,,,
2013/12/22,04,88,43,,,,,,,,,
2013/12/22,05,85,43,,,,,,,,,
2013/12/22,06,82,32,,,,,,,,,
2013/12/22,07,131,63,,,,,,,,,
2013/12/22,08,251,157,,,,,,,,,
2013/12/22,09,260,155,,,,,,,,,
2013/12/22,10,274,171,,,,,,,,,
2013/12/22,11,278,173,,,,,,,,,
2013/12/22,12,289,162,,,,,,,,,
2013/12/22,13,280,170,,,,,,,,,
2013/12/22,14,285,163,,,,,,,,,
2013/12/22,15,279,176,,,,,,,,,
2013/12/22,16,286,173,,,,,,,,,
2013/12/22,17,286,171,,,,,,,,,
2013/12/22,18,267,159,,,,,,,,,
2013/12/22,19,266,161,,,,,,,,,
2013/12/22,20,263,162,,,,,,,,,
2013/12/22,21,253,158,,,,,,,,,
2013/12/22,22,142,67,,,,,,,,,
2013/12/22,23,74,52,,,,,,,,,
2013/12/22,24,69,43,,,,,,,,,
2013/12/23,01,63,42,,,,,,,,,
2013/12/23,02,63,40,,,,,,,,,
2013/12/23,03,62,35,,,,,,,,,
2013/12/23,04,73,39,,,,,,,,,
2013/12/23,05,58,37,,,,,,,,,
2013/12/23,06,79,30,,,,,,,,,
2013/12/23,07,136,63,,,,,,,,,
2013/12/23,08,235,146,,,,,,,,,
2013/12/23,09,260,155,,,,,,,,,
2013/12/23,10,275,170,,,,,,,,,
2013/12/23,11,272,174,,,,,,,,,
2013/12/23,12,283,170,,,,,,,,,
2013/12/23,13,276,177,,,,,,,,,
2013/12/23,14,281,170,,,,,,,,,
2013/12/23,15,278,180,,,,,,,,,
2013/12/23,16,278,181,,,,,,,,,
2013/12/23,17,276,177,,,,,,,,,
2013/12/23,18,274,168,,,,,,,,,
2013/12/23,19,269,170,,,,,,,,,
2013/12/23,20,262,167,,,,,,,,,
2013/12/23,21,245,158,,,,,,,,,
2013/12/23,22,123,52,,,,,,,,,
2013/12/23,23,75,56,,,,,,,,,
2013/12/23,24,74,48,,,,,,,,,
2013/12/24,01,66,45,,,,,,,,,
2013/12/24,02,65,43,,,,,,,,,
2013/12/24,03,66,40,,,,,,,,,
2013/12/24,04,81,44,,,,,,,,,
2013/12/24,05,64,43,,,,,,,,,
2013/12/24,06,75,31,,,,,,,,,
2013/12/24,07,101,59,,,,,,,,,
2013/12/24,08,229,149,,,,,,,,,
2013/12/24,09,263,161,,,,,,,,,
2013/12/24,10,271,168,,,,,,,,,
2013/12/24,11,272,173,,,,,,,,,
2013/12/24,12,268,164,,,,,,,,,
2013/12/24,13,273,161,,,,,,,,,
2013/12/24,14,274,148,,,,,,,,,
2013/12/24,15,277,178,,,,,,,,,
2013/12/24,16,279,178,,,,,,,,,
2013/12/24,17,272,174,,,,,,,,,
2013/12/24,18,270,166,,,,,,,,,
2013/12/24,19,266,170,,,,,,,,,
2013/12/24,20,258,166,,,,,,,,,
2013/12/24,21,237,153,,,,,,,,,
2013/12/24,22,138,81,,,,,,,,,
2013/12/24,23,69,51,,,,,,,,,
2013/12/24,24,67,43,,,,,,,,,
2013/12/25,01,59,41,,,,,,,,,
2013/12/25,02,61,39,,,,,,,,,
2013/12/25,03,63,37,,,,,,,,,
2013/12/25,04,69,39,,,,,,,,,
2013/12/25,05,57,37,,,,,,,,,
2013/12/25,06,69,26,,,,,,,,,
2013/12/25,07,98,57,,,,,,,,,
2013/12/25,08,215,146,,,,,,,,,
2013/12/25,09,264,155,,,,,,,,,
2013/12/25,10,267,170,,,,,,,,,
2013/12/25,11,261,170,,,,,,,,,
2013/12/25,12,276,168,,,,,,,,,
2013/12/25,13,257,161,,,,,,,,,
2013/12/25,14,259,160,,,,,,,,,
2013/12/25,15,273,177,,,,,,,,,
2013/12/25,16,286,181,,,,,,,,,
2013/12/25,17,287,180,,,,,,,,,
2013/12/25,18,276,170,,,,,,,,,
2013/12/25,19,265,174,,,,,,,,,
2013/12/25,20,265,170,,,,,,,,,
2013/12/25,21,242,155,,,,,,,,,
2013/12/25,22,115,46,,,,,,,,,
2013/12/25,23,69,50,,,,,,,,,
2013/12/25,24,67,39,,,,,,,,,
2013/12/26,01,61,39,,,,,,,,,
2013/12/26,02,60,37,,,,,,,,,
2013/12/26,03,61,32,,,,,,,,,
2013/12/26,04,71,36,,,,,,,,,
2013/12/26,05,64,32,,,,,,,,,
2013/12/26,06,76,26,,,,,,,,,
2013/12/26,07,102,51,,,,,,,,,
2013/12/26,08,172,80,,,,,,,,,
2013/12/26,09,260,152,,,,,,,,,
2013/12/26,10,266,166,,,,,,,,,
2013/12/26,11,264,169,,,,,,,,,
2013/12/26,12,266,161,,,,,,,,,
2013/12/26,13,257,160,,,,,,,,,
2013/12/26,14,253,145,,,,,,,,,
2013/12/26,15,255,160,,,,,,,,,
2013/12/26,16,272,173,,,,,,,,,
2013/12/26,17,282,174,,,,,,,,,
2013/12/26,18,274,168,,,,,,,,,
2013/12/26,19,271,170,,,,,,,,,
2013/12/26,20,267,169,,,,,,,,,
2013/12/26,21,251,160,,,,,,,,,
2013/12/26,22,129,58,,,,,,,,,
2013/12/26,23,78,59,,,,,,,,,
2013/12/26,24,74,46,,,,,,,,,
2013/12/27,01,67,47,,,,,,,,,
2013/12/27,02,66,43,,,,,,,,,
2013/12/27,03,65,39,,,,,,,,,
2013/12/27,04,76,42,,,,,,,,,
2013/12/27,05,62,39,,,,,,,,,
2013/12/27,06,78,31,,,,,,,,,
2013/12/27,07,122,64,,,,,,,,,
2013/12/27,08,242,155,,,,,,,,,
2013/12/27,09,258,154,,,,,,,,,
2013/12/27,10,268,169,,,,,,,,,
